GEOID, Name,County,Tribal Areas,Avg. Energy Burden (% income)
42017100102,Census Tract 1001.02,Bucks County,,3
42017100103,Census Tract 1001.03,Bucks County,,3
42017100104,Census Tract 1001.04,Bucks County,,3
42017100105,Census Tract 1001.05,Bucks County,,4
42017100206,Census Tract 1002.06,Bucks County,,2
42017100208,Census Tract 1002.08,Bucks County,,3
42013100300,Census Tract 1003,Blair County,,4
42017100406,Census Tract 1004.06,Bucks County,,2
42017100407,Census Tract 1004.07,Bucks County,,3
42017100408,Census Tract 1004.08,Bucks County,,4
42013100500,Census Tract 1005,Blair County,,4
42013100600,Census Tract 1006,Blair County,,3
42013100700,Census Tract 1007,Blair County,,5
42017100803,Census Tract 1008.03,Bucks County,,3
42013100800,Census Tract 1008,Blair County,,3
42013010101,Census Tract 101.01,Blair County,,4
42071010101,Census Tract 101.01,Lancaster County,,3
42013010102,Census Tract 101.02,Blair County,,4
42071010102,Census Tract 101.02,Lancaster County,,4
42133010130,Census Tract 101.30,York County,,2
42013101100,Census Tract 1011,Blair County,,3
42017101100,Census Tract 1011,Bucks County,,3
42013101200,Census Tract 1012,Blair County,,2
42017101404,Census Tract 1014.04,Bucks County,,3
42013101400,Census Tract 1014,Blair County,,3
42017101504,Census Tract 1015.04,Bucks County,,2
42013101500,Census Tract 1015,Blair County,,3
42017101603,Census Tract 1016.03,Bucks County,,3
42017101610,Census Tract 1016.10,Bucks County,,2
42017101611,Census Tract 1016.11,Bucks County,,2
42013101600,Census Tract 1016,Blair County,,4
42017101802,Census Tract 1018.02,Bucks County,,2
42017101803,Census Tract 1018.03,Bucks County,,2
42013101800,Census Tract 1018,Blair County,,3
42017101900,Census Tract 1019,Bucks County,,2
42011010100,Census Tract 101,Berks County,,4
42021010100,Census Tract 101,Cambria County,,5
42041010100,Census Tract 101,Cumberland County,,5
42041010201,Census Tract 102.01,Cumberland County,,3
42071010201,Census Tract 102.01,Lancaster County,,3
42071010202,Census Tract 102.02,Lancaster County,,4
42073010202,Census Tract 102.02,Lawrence County,,4
